,review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
31549,RH74E2XQLUNM2,5,56,58,N,Y
31582,R18F8WSB8CJHC4,4,23,25,N,Y
31683,R1CA1PWDL60QJR,3,21,23,N,Y
31854,RSEPOOOF2B5UC,1,32,32,N,Y
31916,R2TIG86V4VJRNW,5,37,41,N,Y
32095,RPGETSZ7YWJJC,4,22,26,N,Y
32110,R24RQJW8AZ8PKS,5,26,28,N,Y
32251,RUU344NVNJGXA,4,26,28,N,Y
32267,R2SNHN4ZKDXNAB,4,179,183,N,Y
32389,R2W6FD6J8FGIOB,5,17,20,N,Y
32552,R28C3Q3YX5AEL3,5,79,81,N,Y
32805,R3PTRW8KR1AFVR,5,20,21,N,Y
33239,RL9JST9DZDYRU,5,20,21,N,Y
33484,R20W3CSY3BX4FB,1,60,62,N,N
33707,R19P43S03GCT4O,1,27,36,N,Y
33944,R3CXXKNT3INKJV,5,31,38,N,Y
34391,RPSQMLIM6GUL,1,122,133,N,Y
34964,R3I6HBPHEEGNIZ,1,40,47,N,Y
34971,R2M14I62126UHS,2,23,23,N,Y
35869,RWV2OL696MG2O,1,36,36,N,Y
35873,R1UHBSTWOGCAKC,3,23,25,N,Y
35907,RM3GSFRCTZP4L,5,33,33,N,Y
36065,RJJXJWSYX5RBM,2,21,23,N,Y
36193,ROAQ2LPNQEMJ7,5,23,24,N,N
36280,RSG6AZRGUJI1Y,5,31,33,N,Y
36408,R3TX3AU91CXQKZ,4,28,28,N,Y
36426,R2TT1R6F7DZYFB,5,35,36,N,Y
36631,R19UYYBA308NXI,3,131,146,N,Y
37206,RZW4E65TOIKF8,1,24,27,N,Y
37447,R2LQ6NL3EMT4JM,5,60,62,N,Y
37464,R3M5QGJ6UNIDJV,5,33,34,N,N
37524,R2YTI4J186A8Z0,5,44,46,N,Y
37802,R2MI0Q7CJ46FXC,5,20,21,N,Y
38168,R2IR95PR072DD3,1,26,26,N,Y
38649,RIDEBJ9PLGE4Z,5,43,48,N,Y
38691,R2S6NOK9BEP3FF,1,13,25,N,N
38961,R19S6PSEX8076G,4,33,33,N,Y
39766,R27Y4NDU63THZR,1,35,39,N,Y
39875,R1LZBO3C53337P,1,14,20,N,Y
39983,R2O9SOJ201GZPV,2,37,48,N,Y
40009,RC4KPV4GV2RIQ,5,23,24,N,Y
40205,R2IUVMSNG0YYK,5,31,34,N,Y
40244,RST8CWPRU9B04,1,16,21,N,Y
40695,RV5D6RQ8P7JWB,5,22,22,N,Y
41056,R2AP9F42G91ERC,1,1,25,N,N
41266,R3FNVANJ41ZOUX,4,31,31,N,Y
41343,RZB9BM2S1RD7V,5,25,26,N,Y
42260,R1D0MNJ89G6RFO,4,24,25,N,Y
42412,R24IY2I6XR05VG,5,254,266,N,Y
42570,RCCRPQ9FB1F4W,5,85,90,N,Y
42636,R17ML6FZLO8DYW,5,64,65,N,Y
43041,R3J9RWI0753TSA,5,124,124,N,Y
43231,R1KAS31VOTOR4E,5,19,20,N,Y
43274,R1UDZXYELNM9YN,1,28,28,N,Y
43831,R2ZJXIBD01FNXA,4,44,45,N,Y
43945,R1NATHAOHRSUD2,4,20,20,N,Y
44573,R35SVLD2R82RRI,1,24,26,N,N
44994,R2STD8ANLJWJ16,5,58,59,N,Y
45643,R1741MKO0IOO8T,2,24,26,N,Y
45809,R1BDIZEW98F2AO,5,20,21,N,Y
46204,R2NY1PR47LH6AB,5,35,35,N,Y
46934,R1ZJD8BGD0EV7O,2,32,37,N,Y
47013,R3I5ELQW9KYF04,2,30,32,N,Y
47553,R2I92MZD2O4FQE,3,0,21,N,Y
47770,R39EZPVBJS0K6N,2,44,53,N,Y
48101,RDK9SEWKKWM20,5,19,20,N,Y
48650,R200C5KKVVCCGM,5,20,22,N,Y
48913,R331XW3FBY7VCI,4,26,29,N,Y
49047,R2YP83IKM64VB7,5,27,28,N,Y
49061,RT3DEX8L2RBBU,5,63,64,N,N
49366,R3JOO7QD6FB54M,1,109,118,N,Y
49445,RTDJP5O8IA1KL,3,35,44,N,Y
49446,R18QV7EVQAQ217,1,30,30,N,Y
49832,R3KO3BPGZQVFLZ,4,38,39,N,Y
49909,R23MP9125EOP6S,4,24,26,N,Y
49934,R6GIWP8UVB1E7,4,21,23,N,Y
50159,R1Z2IX31CI0QWL,5,37,39,N,Y
50317,R28YX1TTMOTJZ6,4,23,23,N,N
50388,RLYCJ1ZXTHL5L,3,37,38,N,Y
50427,R147S4KIJJZ9DP,4,36,38,N,Y
50668,R23QSBMEOUDNQ6,5,18,21,N,Y
50731,R1OWYHHE0L6LH9,5,22,25,N,Y
50831,R1GRKMY4YIK7FR,5,21,21,N,Y
51071,R15X7RPLYG9J5R,1,20,21,N,Y
51256,R38JLC7CJHSSIQ,5,130,132,N,N
51520,R6JVWZOALRKUP,1,85,101,N,Y
51699,R3I5HCT3EE9Y09,4,53,56,N,Y
52188,R1ZGS8HJSULQJV,4,33,33,N,Y
52322,R14MQ35R4NVNAH,1,17,21,N,Y
52829,R1I90PIWSW5KYZ,5,29,30,N,Y
53278,R13334DADEL1R,5,32,32,N,Y
53437,R7ODQ5U3C5NOT,5,22,22,N,Y
54113,R3D7Z2T6KDN63R,5,98,101,N,Y
54286,R1KDHOQDRQ7XAZ,5,23,23,N,Y
54584,RYB8EKKFTAQC,4,30,31,N,Y
54648,R2YHWZLEC6L0D2,1,22,23,N,Y
